,Accuracy,Image,Set,Experiment
0,0.6745762711864407,160,val,4
1,0.6418918918918919,161,val,4
2,0.68,162,val,4
3,0.7166666666666667,163,val,4
4,0.7242524916943521,164,val,4
5,0.7392739273927392,165,val,4
6,0.7913907284768212,166,val,4
7,0.6920529801324503,167,val,4
8,0.7417218543046358,168,val,4
9,0.6754966887417219,169,val,4
10,0.7516556291390728,170,val,4
11,0.7062706270627063,171,val,4
12,0.6534653465346535,172,val,4
13,0.7128712871287128,173,val,4
14,0.6468646864686468,174,val,4
15,0.6171617161716172,175,val,4
16,0.636963696369637,176,val,4
17,0.66996699669967,177,val,4
18,0.6435643564356436,178,val,4
19,0.6534653465346535,179,val,4
20,0.49174917491749176,180,val,4
21,0.46534653465346537,181,val,4
22,0.4950166112956811,182,val,4
23,0.4768211920529801,183,val,4
24,0.48344370860927155,184,val,4
25,0.47019867549668876,185,val,4
26,0.5098684210526315,186,val,4
27,0.5016393442622951,187,val,4
28,0.495114006514658,188,val,4
29,0.501628664495114,189,val,4
30,0.47896440129449835,190,val,4
31,0.45161290322580644,191,val,4
32,0.5064516129032258,192,val,4
33,0.5273311897106109,193,val,4
34,0.47266881028938906,194,val,4
35,0.4983922829581994,195,val,4
36,0.5566343042071198,196,val,4
37,0.47096774193548385,197,val,4
38,0.5032258064516129,198,val,4
39,0.5129032258064516,199,val,4
40,0.5612244897959183,200,test,4
41,0.5578231292517006,201,test,4
42,0.5102040816326531,202,test,4
43,0.47278911564625853,203,test,4
44,0.46938775510204084,204,test,4
45,0.46757679180887374,205,test,4
46,0.5051194539249146,206,test,4
47,0.4880546075085324,207,test,4
48,0.5255972696245734,208,test,4
49,0.4641638225255973,209,test,4
50,0.47440273037542663,210,test,4
51,0.47440273037542663,211,test,4
52,0.42662116040955633,212,test,4
53,0.46757679180887374,213,test,4
54,0.4778156996587031,214,test,4
55,0.4948805460750853,215,test,4
56,0.5085324232081911,216,test,4
57,0.5290102389078498,217,test,4
58,0.5119453924914675,218,test,4
59,0.4334470989761092,219,test,4
60,0.4423076923076923,220,test,4
61,0.5128205128205128,221,test,4
62,0.4807692307692308,222,test,4
63,0.4713375796178344,223,test,4
64,0.48089171974522293,224,test,4
65,0.5159235668789809,225,test,4
66,0.535031847133758,226,test,4
67,0.49044585987261147,227,test,4
68,0.535031847133758,228,test,4
69,0.5764331210191083,229,test,4
70,0.5605095541401274,230,test,4
71,0.48089171974522293,231,test,4
72,0.4681528662420382,232,test,4
73,0.5382165605095541,233,test,4
74,0.4968152866242038,234,test,4
75,0.47770700636942676,235,test,4
76,0.4394904458598726,236,test,4
77,0.5095541401273885,237,test,4
78,0.5605095541401274,238,test,4
79,0.47770700636942676,239,test,4
