,MAED,Set,Image
0,0.895919919013977,val,12
1,0.9576310515403748,val,15
2,1.1312922239303589,val,22
3,1.0493733882904053,val,38
4,0.9139627814292908,val,40
5,1.0556458234786987,val,41
6,1.1234169006347656,val,50
7,0.9063550233840942,val,61
8,0.9808242321014404,val,67
9,0.965778112411499,val,76
10,0.923851490020752,val,78
11,1.252272605895996,val,82
12,1.1658055782318115,val,89
13,1.4199421405792236,val,91
14,1.332953691482544,val,93
15,1.1238056421279907,val,95
16,1.4128862619400024,val,97
17,1.034696340560913,val,103
18,1.4356348514556885,val,107
19,1.054971694946289,val,112
20,0.8317484855651855,val,133
21,0.837978720664978,val,137
22,1.1418062448501587,val,168
23,1.1058861017227173,val,181
24,1.1245659589767456,val,185
25,1.2402400970458984,val,186
26,1.1829266548156738,val,188
27,1.1166983842849731,val,189
28,1.1905927658081055,val,194
29,1.2935987710952759,val,197
30,1.1262856721878052,val,198
31,1.1517482995986938,val,207
32,1.0102570056915283,val,225
33,1.1072709560394287,val,229
34,1.013702392578125,val,233
35,1.0704734325408936,val,235
36,6.948766708374023,val,242
37,7.249848365783691,val,245
38,3.0474154949188232,val,248
39,4.79224967956543,val,249
40,6.335085391998291,val,260
41,5.225534915924072,val,267
42,3.125274419784546,val,271
43,5.174988269805908,val,273
44,4.717897415161133,val,294
45,6.635058879852295,val,297
46,3.063903331756592,val,308
47,3.5379526615142822,val,311
48,4.804798126220703,val,314
49,3.7612335681915283,val,318
50,6.155608177185059,val,329
51,5.9044718742370605,val,330
52,2.8905696868896484,val,334
53,8.258485794067383,val,351
54,5.338141441345215,val,376
55,6.0308990478515625,val,383
56,6.615057945251465,val,390
57,5.857852458953857,val,394
58,4.237524032592773,val,400
59,3.5169763565063477,val,408
60,8.382881164550781,val,416
61,4.101365566253662,val,429
62,4.041161060333252,val,431
63,5.277066230773926,val,441
64,9.979199409484863,val,453
65,8.78196907043457,val,458
66,5.7301177978515625,val,464
67,6.471373558044434,val,470
68,4.343598365783691,val,475
69,5.281800270080566,val,485
70,8.854588508605957,val,486
71,5.362056255340576,val,491
72,4.960193634033203,val,493
73,6.028730392456055,val,510
74,8.608577728271484,val,516
75,5.030660152435303,val,519
76,7.054739475250244,val,522
77,8.214377403259277,val,524
78,3.26702880859375,val,528
79,3.0016229152679443,val,538
80,3.753618001937866,val,539
81,4.632518291473389,val,545
82,3.0636067390441895,val,549
83,3.436528444290161,val,554
84,6.377217769622803,val,565
85,3.692286729812622,val,573
86,3.3324859142303467,val,575
87,7.995697975158691,val,590
88,4.956584930419922,val,602
89,3.4093801975250244,val,617
90,4.772813320159912,val,618
91,3.0912811756134033,val,620
92,4.851469993591309,val,622
93,3.370410680770874,val,631
94,3.1670291423797607,val,633
95,3.8120713233947754,val,638
96,6.403505802154541,val,641
97,2.991645574569702,val,663
98,4.4816484451293945,val,675
99,3.883977174758911,val,684
100,6.099679470062256,val,707
101,3.2946765422821045,val,710
102,4.082399845123291,val,720
103,2.9398913383483887,val,730
104,4.586320877075195,val,738
105,4.142063617706299,val,739
106,3.9668197631835938,val,743
107,4.953158378601074,val,757
108,4.4438652992248535,val,766
109,4.19328498840332,val,772
110,6.433735370635986,val,774
111,4.0573883056640625,val,775
112,5.362469673156738,val,780
113,7.836270332336426,val,783
114,2.9284489154815674,val,786
115,7.86799430847168,val,793
116,5.106680870056152,val,794
117,3.6861040592193604,val,796
118,7.080014228820801,val,804
119,6.751563549041748,val,825
120,5.544074058532715,val,826
121,4.35720682144165,val,827
122,6.234525680541992,val,832
123,3.7673327922821045,val,835
124,2.7703685760498047,val,844
125,4.490631580352783,val,848
126,3.9305522441864014,val,864
127,2.5618748664855957,val,865
128,3.412508249282837,val,866
129,4.778964042663574,val,871
130,3.8499677181243896,val,889
131,2.347655773162842,val,896
132,2.744314193725586,val,905
133,4.256425857543945,val,907
134,4.67473030090332,val,913
135,6.048277854919434,val,918
136,2.177680015563965,val,932
137,4.272027015686035,val,934
138,5.924367427825928,val,935
139,4.018144130706787,val,951
140,3.9028701782226562,val,955
141,2.4723689556121826,val,963
142,4.3576154708862305,val,971
143,3.3700709342956543,val,982
144,3.764188528060913,val,983
145,4.497762203216553,val,984
146,3.7276840209960938,val,986
147,9.194831848144531,val,989
148,3.3231332302093506,val,996
149,4.295800685882568,val,1003
150,6.630825519561768,val,1004
151,4.356448173522949,val,1010
152,3.8871610164642334,val,1022
153,4.539478302001953,val,1026
154,3.8080263137817383,val,1037
155,3.6903629302978516,val,1045
156,4.173528671264648,val,1046
157,5.730166912078857,val,1048
158,4.425894260406494,val,1049
159,3.7384514808654785,val,1050
160,1.3656601905822754,val,1064
161,3.2025678157806396,val,1066
162,3.8717880249023438,val,1071
163,4.775222301483154,val,1072
164,7.541289329528809,val,1096
165,5.3273491859436035,val,1101
166,4.815422058105469,val,1104
167,3.3851072788238525,val,1105
168,4.073526382446289,val,1130
169,3.8735404014587402,val,1132
170,4.517175197601318,val,1143
171,4.102405548095703,val,1152
172,3.8487963676452637,val,1162
173,3.3911585807800293,val,1169
174,3.331171751022339,val,1181
175,5.428167819976807,val,1186
176,3.7634902000427246,val,1190
177,4.188920497894287,val,1209
178,2.514308452606201,val,1215
179,6.764759063720703,val,1221
180,5.013195037841797,val,1223
181,4.536617279052734,val,1224
182,3.2618329524993896,val,1232
183,2.959468126296997,val,1244
184,3.9557149410247803,val,1246
185,3.8558218479156494,val,1248
186,2.7144484519958496,val,1257
187,5.784107685089111,val,1260
188,4.4271464347839355,val,1262
189,5.17720365524292,val,1283
190,5.333024978637695,val,1298
191,4.624264717102051,val,1299
192,1.7665290832519531,val,1300
193,4.530144214630127,val,1305
194,6.6464457511901855,val,1329
195,5.187958717346191,val,1331
