,Accuracy,Image,Set,Experiment
0,0.7322033898305085,160,val,7
1,0.6993243243243243,161,val,7
2,0.6733333333333333,162,val,7
3,0.6766666666666666,163,val,7
4,0.7009966777408638,164,val,7
5,0.6402640264026402,165,val,7
6,0.6821192052980133,166,val,7
7,0.7284768211920529,167,val,7
8,0.6423841059602649,168,val,7
9,0.652317880794702,169,val,7
10,0.652317880794702,170,val,7
11,0.7227722772277227,171,val,7
12,0.7392739273927392,172,val,7
13,0.7095709570957096,173,val,7
14,0.6765676567656765,174,val,7
15,0.6633663366336634,175,val,7
16,0.7029702970297029,176,val,7
17,0.759075907590759,177,val,7
18,0.6897689768976898,178,val,7
19,0.6897689768976898,179,val,7
20,0.49834983498349833,180,val,7
21,0.49834983498349833,181,val,7
22,0.5614617940199336,182,val,7
23,0.46357615894039733,183,val,7
24,0.4602649006622517,184,val,7
25,0.48013245033112584,185,val,7
26,0.4868421052631579,186,val,7
27,0.4524590163934426,187,val,7
28,0.498371335504886,188,val,7
29,0.5309446254071661,189,val,7
30,0.4401294498381877,190,val,7
31,0.4645161290322581,191,val,7
32,0.44193548387096776,192,val,7
33,0.49517684887459806,193,val,7
34,0.5080385852090032,194,val,7
35,0.49517684887459806,195,val,7
36,0.5275080906148867,196,val,7
37,0.45806451612903226,197,val,7
38,0.5193548387096775,198,val,7
39,0.532258064516129,199,val,7
40,0.41156462585034015,200,test,7
41,0.3163265306122449,201,test,7
42,0.3129251700680272,202,test,7
43,0.3877551020408163,203,test,7
44,0.3707482993197279,204,test,7
45,0.3720136518771331,205,test,7
46,0.3890784982935154,206,test,7
47,0.378839590443686,207,test,7
48,0.37542662116040953,208,test,7
49,0.3310580204778157,209,test,7
50,0.3174061433447099,210,test,7
51,0.36177474402730375,211,test,7
52,0.378839590443686,212,test,7
53,0.3583617747440273,213,test,7
54,0.36860068259385664,214,test,7
55,0.40955631399317405,215,test,7
56,0.3378839590443686,216,test,7
57,0.3890784982935154,217,test,7
58,0.3720136518771331,218,test,7
59,0.3890784982935154,219,test,7
60,0.40705128205128205,220,test,7
61,0.4519230769230769,221,test,7
62,0.44551282051282054,222,test,7
63,0.4394904458598726,223,test,7
64,0.3885350318471338,224,test,7
65,0.4267515923566879,225,test,7
66,0.4681528662420382,226,test,7
67,0.39490445859872614,227,test,7
68,0.4426751592356688,228,test,7
69,0.4394904458598726,229,test,7
70,0.3821656050955414,230,test,7
71,0.40764331210191085,231,test,7
72,0.40764331210191085,232,test,7
73,0.3853503184713376,233,test,7
74,0.4426751592356688,234,test,7
75,0.4267515923566879,235,test,7
76,0.40764331210191085,236,test,7
77,0.42356687898089174,237,test,7
78,0.43312101910828027,238,test,7
79,0.4012738853503185,239,test,7
