,MAX,Set,Image
0,1.3856948614120483,val,1
1,3.6164536476135254,val,2
2,3.6372323036193848,val,21
3,3.2674853801727295,val,25
4,0.9724332094192505,val,37
5,5.18591833114624,val,38
6,0.8495569229125977,val,45
7,16.564125061035156,val,50
8,0.8122742176055908,val,59
9,12.243663787841797,val,67
10,1.1042542457580566,val,72
11,1.8979032039642334,val,77
12,3.5123252868652344,val,93
13,4.270766258239746,val,105
14,3.895127534866333,val,108
15,2.336416721343994,val,114
16,3.894733190536499,val,116
17,15.360424041748047,val,124
18,0.21817409992218018,val,133
19,2.001370668411255,val,152
20,0.2929752469062805,val,161
21,1.525628924369812,val,176
22,1.737823247909546,val,197
23,2.5434467792510986,val,200
24,2.6161487102508545,val,204
25,0.3945149779319763,val,211
26,0.9171151518821716,val,217
27,0.6980014443397522,val,225
28,3.7016870975494385,val,227
29,1.8417125940322876,val,229
30,4.687819004058838,val,231
31,2.3382983207702637,val,244
32,0.5177104473114014,val,264
33,1.1183077096939087,val,270
34,3.2005558013916016,val,300
35,2.149383783340454,val,307
36,0.9215220212936401,val,316
37,1.6724114418029785,val,338
38,2.5432493686676025,val,352
39,1.3305071592330933,val,362
40,1.3280121088027954,val,369
41,0.4741933047771454,val,370
42,21.15484619140625,val,372
43,0.27935004234313965,val,385
44,1.4429723024368286,val,388
45,2.791404962539673,val,405
46,1.2026883363723755,val,416
47,1.5479341745376587,val,434
48,0.4170963168144226,val,435
49,0.966253399848938,val,437
50,1.1006361246109009,val,441
51,1.4724366664886475,val,442
52,0.6029307842254639,val,443
53,1.390965461730957,val,450
54,11.182992935180664,val,452
55,3.3517022132873535,val,457
56,2.268911123275757,val,480
57,1.0302248001098633,val,482
58,1.5370726585388184,val,490
59,2.793322801589966,val,491
60,0.922180712223053,val,496
61,4.03853702545166,val,507
62,0.5281912684440613,val,508
63,1.2528740167617798,val,511
64,2.6941466331481934,val,521
65,1.9855164289474487,val,533
66,11.385120391845703,val,539
67,2.2852001190185547,val,545
68,6.175008296966553,val,548
69,11.86895751953125,val,563
70,1.2864915132522583,val,570
71,0.4935804307460785,val,571
72,2.103923797607422,val,572
73,2.235419511795044,val,573
74,1.3909457921981812,val,586
75,1.462065577507019,val,591
76,1.1780940294265747,val,599
77,5.544325828552246,val,604
78,1.0515706539154053,val,606
79,7.3724846839904785,val,608
80,2.568162202835083,val,612
81,1.3023555278778076,val,615
82,1.9912471771240234,val,619
83,1.9190422296524048,val,628
84,0.422372430562973,val,635
85,2.119448184967041,val,639
86,9.707426071166992,val,645
87,1.9567937850952148,val,652
88,0.5046961903572083,val,660
89,1.7126473188400269,val,665
90,0.3377186357975006,val,667
91,3.1953368186950684,val,680
92,1.397475242614746,val,682
93,0.35775861144065857,val,691
94,0.657288670539856,val,692
95,2.971794843673706,val,703
96,0.9998306035995483,val,708
97,0.40337684750556946,val,735
98,0.8415594100952148,val,742
