,MAED,Set,Image
0,2.9287800788879395,val,12
1,2.4983460903167725,val,15
2,2.065913677215576,val,22
3,2.526041030883789,val,38
4,2.8050899505615234,val,40
5,2.9795491695404053,val,41
6,2.365330457687378,val,50
7,2.1762564182281494,val,61
8,2.455739974975586,val,67
9,2.0936620235443115,val,76
10,2.2318532466888428,val,78
11,2.009803533554077,val,82
12,1.9451836347579956,val,89
13,2.0435752868652344,val,91
14,2.4829258918762207,val,93
15,2.041832447052002,val,95
16,2.0611326694488525,val,97
17,1.9593876600265503,val,103
18,2.283831834793091,val,107
19,2.1760690212249756,val,112
20,1.804796576499939,val,133
21,1.756028175354004,val,137
22,1.7798523902893066,val,168
23,3.5722014904022217,val,181
24,2.7499687671661377,val,185
25,2.4533019065856934,val,186
26,2.642883062362671,val,188
27,2.759592056274414,val,189
28,2.6963541507720947,val,194
29,3.062668561935425,val,197
30,3.1723029613494873,val,198
31,1.8808989524841309,val,207
32,1.8816022872924805,val,225
33,2.1939733028411865,val,229
34,2.164734363555908,val,233
35,1.8249531984329224,val,235
36,2.7590548992156982,test,9
37,3.0489962100982666,test,14
38,2.7382991313934326,test,17
39,2.274259328842163,test,37
40,2.0852725505828857,test,42
41,2.249394178390503,test,51
42,1.9204643964767456,test,54
43,2.523993492126465,test,55
44,2.567817449569702,test,57
45,3.075453758239746,test,60
46,2.2857048511505127,test,65
47,2.326317071914673,test,68
48,2.3646557331085205,test,69
49,2.4146721363067627,test,71
50,2.3290207386016846,test,74
51,2.1192712783813477,test,88
52,2.328796625137329,test,96
53,1.9952847957611084,test,113
54,2.2011702060699463,test,119
55,2.162405490875244,test,120
56,1.8423383235931396,test,129
57,1.8197234869003296,test,130
58,2.230415105819702,test,145
59,2.60237455368042,test,156
60,3.8882217407226562,test,159
61,1.969793677330017,test,163
62,2.3511178493499756,test,174
63,2.154100179672241,test,177
64,3.7598137855529785,test,180
65,2.7950820922851562,test,193
66,2.110771417617798,test,206
67,1.968436360359192,test,208
68,1.7277202606201172,test,211
69,1.6717329025268555,test,218
70,2.116668462753296,test,228
71,1.8765654563903809,test,237
