,MIN,Set,Image
0,12.436619758605957,val,1
1,12.41236686706543,val,2
2,12.407220840454102,val,21
3,12.432817459106445,val,25
4,12.417251586914062,val,37
5,12.413928985595703,val,38
6,12.414889335632324,val,45
7,12.418801307678223,val,50
8,12.622129440307617,val,59
9,12.42302131652832,val,67
10,12.409642219543457,val,72
11,12.426742553710938,val,77
12,12.421759605407715,val,93
13,12.714213371276855,val,105
14,12.774510383605957,val,108
15,12.559394836425781,val,114
16,12.595109939575195,val,116
17,12.423806190490723,val,124
18,12.478391647338867,val,133
19,12.425485610961914,val,152
20,12.420382499694824,val,161
21,12.437592506408691,val,176
22,12.589136123657227,val,197
23,12.410558700561523,val,200
24,12.417463302612305,val,204
25,12.608940124511719,val,211
26,12.582366943359375,val,217
27,12.539575576782227,val,225
28,12.41832160949707,val,227
29,12.98980712890625,val,229
30,12.418228149414062,val,231
31,12.450483322143555,val,244
32,12.41001033782959,val,264
33,12.600403785705566,val,270
34,12.427417755126953,val,300
35,12.441530227661133,val,307
36,12.411617279052734,val,316
37,12.407210350036621,val,338
38,12.407135963439941,val,352
39,12.414392471313477,val,362
40,12.443621635437012,val,369
41,12.652633666992188,val,370
42,12.410950660705566,val,372
43,12.454559326171875,val,385
44,12.423918724060059,val,388
45,12.665014266967773,val,405
46,12.833985328674316,val,416
47,12.438758850097656,val,434
48,12.473058700561523,val,435
49,12.609272003173828,val,437
50,12.413064956665039,val,441
51,12.657703399658203,val,442
52,12.417476654052734,val,443
53,12.426298141479492,val,450
54,12.661674499511719,val,452
55,12.504642486572266,val,457
56,12.626421928405762,val,480
57,12.962486267089844,val,482
58,12.42304801940918,val,490
59,12.544584274291992,val,491
60,12.427339553833008,val,496
61,12.423880577087402,val,507
62,12.523664474487305,val,508
63,12.577489852905273,val,511
64,12.717105865478516,val,521
65,12.427397727966309,val,533
66,12.424427032470703,val,539
67,12.797957420349121,val,545
68,12.394367218017578,val,548
69,12.423110961914062,val,563
70,12.574657440185547,val,570
71,12.410146713256836,val,571
72,12.58789348602295,val,572
73,12.442840576171875,val,573
74,12.422028541564941,val,586
75,12.680397033691406,val,591
76,12.422096252441406,val,599
77,12.423187255859375,val,604
78,12.633604049682617,val,606
79,12.680073738098145,val,608
80,12.414341926574707,val,612
81,12.607011795043945,val,615
82,12.420186042785645,val,619
83,12.41242790222168,val,628
84,12.485162734985352,val,635
85,12.432085990905762,val,639
86,12.448735237121582,val,645
87,12.652827262878418,val,652
88,12.452190399169922,val,660
89,12.42414665222168,val,665
90,12.489426612854004,val,667
91,12.41299057006836,val,680
92,12.411319732666016,val,682
93,12.422233581542969,val,691
94,12.532885551452637,val,692
95,12.417954444885254,val,703
96,12.567120552062988,val,708
97,12.485569953918457,val,735
98,12.414008140563965,val,742
99,12.546794891357422,val,747
100,12.421113967895508,val,749
101,12.441863059997559,val,752
102,12.418829917907715,val,753
103,12.42302131652832,val,754
104,12.592072486877441,val,764
105,12.643146514892578,val,769
106,12.419024467468262,val,773
107,12.410770416259766,val,799
108,12.40903377532959,val,800
109,12.84765625,val,808
110,12.417646408081055,val,815
111,12.426368713378906,val,843
112,12.411995887756348,val,848
113,12.727897644042969,val,850
114,13.224069595336914,val,857
115,12.564523696899414,val,859
116,12.420348167419434,val,866
117,12.410276412963867,val,870
118,12.443246841430664,val,882
119,12.406534194946289,val,889
120,12.421659469604492,val,892
121,12.41965103149414,val,894
122,12.736488342285156,val,895
123,12.50422477722168,val,901
124,12.4256010055542,val,911
125,12.432632446289062,val,925
126,12.422176361083984,val,926
127,12.555682182312012,val,930
128,12.417741775512695,val,933
129,12.691519737243652,val,957
130,12.59074592590332,val,972
131,12.505767822265625,val,975
132,12.40589714050293,val,977
133,12.422895431518555,val,982
134,12.465253829956055,val,984
135,12.623926162719727,val,987
136,12.657111167907715,val,994
137,12.565311431884766,val,999
138,12.407416343688965,val,1008
139,12.411519050598145,val,1009
140,12.644491195678711,val,1024
141,12.573579788208008,val,1027
