,Accuracy,Image,Set,Experiment
0,0.7050847457627119,160,val,3
1,0.7162162162162162,161,val,3
2,0.7333333333333333,162,val,3
3,0.7333333333333333,163,val,3
4,0.7242524916943521,164,val,3
5,0.7986798679867987,165,val,3
6,0.7847682119205298,166,val,3
7,0.7781456953642384,167,val,3
8,0.7350993377483444,168,val,3
9,0.6821192052980133,169,val,3
10,0.7119205298013245,170,val,3
11,0.7161716171617162,171,val,3
12,0.6963696369636964,172,val,3
13,0.768976897689769,173,val,3
14,0.7887788778877888,174,val,3
15,0.7392739273927392,175,val,3
16,0.7788778877887789,176,val,3
17,0.759075907590759,177,val,3
18,0.8085808580858086,178,val,3
19,0.8415841584158416,179,val,3
20,0.3795379537953795,180,val,3
21,0.3333333333333333,181,val,3
22,0.30564784053156147,182,val,3
23,0.33112582781456956,183,val,3
24,0.32450331125827814,184,val,3
25,0.347682119205298,185,val,3
26,0.3256578947368421,186,val,3
27,0.3836065573770492,187,val,3
28,0.31921824104234525,188,val,3
29,0.31921824104234525,189,val,3
30,0.313915857605178,190,val,3
31,0.3548387096774194,191,val,3
32,0.3225806451612903,192,val,3
33,0.3311897106109325,193,val,3
34,0.3183279742765273,194,val,3
35,0.3311897106109325,195,val,3
36,0.34627831715210355,196,val,3
37,0.3258064516129032,197,val,3
38,0.3258064516129032,198,val,3
39,0.2903225806451613,199,val,3
40,0.48299319727891155,200,test,3
41,0.4387755102040816,201,test,3
42,0.445578231292517,202,test,3
43,0.41836734693877553,203,test,3
44,0.4421768707482993,204,test,3
45,0.39590443686006827,205,test,3
46,0.45051194539249145,206,test,3
47,0.48464163822525597,207,test,3
48,0.43686006825938567,208,test,3
49,0.4812286689419795,209,test,3
50,0.45051194539249145,210,test,3
51,0.4232081911262799,211,test,3
52,0.40955631399317405,212,test,3
53,0.4197952218430034,213,test,3
54,0.4129692832764505,214,test,3
55,0.3993174061433447,215,test,3
56,0.4232081911262799,216,test,3
57,0.4197952218430034,217,test,3
58,0.4300341296928328,218,test,3
59,0.4300341296928328,219,test,3
60,0.4198717948717949,220,test,3
61,0.3942307692307692,221,test,3
62,0.40384615384615385,222,test,3
63,0.4171974522292994,223,test,3
64,0.39490445859872614,224,test,3
65,0.4394904458598726,225,test,3
66,0.47770700636942676,226,test,3
67,0.49363057324840764,227,test,3
68,0.4713375796178344,228,test,3
69,0.47770700636942676,229,test,3
70,0.48089171974522293,230,test,3
71,0.48089171974522293,231,test,3
72,0.40764331210191085,232,test,3
73,0.4299363057324841,233,test,3
74,0.48089171974522293,234,test,3
75,0.4554140127388535,235,test,3
76,0.37579617834394907,236,test,3
77,0.5159235668789809,237,test,3
78,0.4745222929936306,238,test,3
79,0.4140127388535032,239,test,3
