,MIN,MAX,MAED,Set,Image,ID
0,0.028937367722392,0.781733453273773,0.197591990232468,val,1,4
1,0.083540812134743,23.6074390411377,4.80699634552002,val,6,4
2,0.031971242278814,1.27595174312592,0.358957171440125,val,9,4
3,0.020261215046048,15.4224004745483,1.94038355350494,val,13,4
4,0.136151060461998,16.7118530273438,2.98966193199158,val,15,4
5,0.115973003208637,16.2335243225098,4.33995914459229,val,22,4
6,0.01026276126504,0.24864450097084,0.120611518621445,val,24,4
7,0.018330119550228,0.506097733974457,0.206223428249359,val,26,4
8,0.066658586263657,12.8207693099976,4.3088264465332,val,28,4
9,0.026471687480807,0.884102880954742,0.180714204907417,val,31,4
10,0.037110954523087,0.524141788482666,0.213595688343048,val,33,4
11,0.110002368688583,25.6841106414795,3.68081450462341,val,39,4
12,0.057218119502068,16.6976776123047,3.13944125175476,val,44,4
13,0.491968035697937,16.3932914733887,2.17092752456665,val,64,4
14,0.71924501657486,9.56756019592285,2.82545828819275,val,66,4
15,0.127950727939606,10.0258684158325,1.69778621196747,val,77,4
16,0.057217534631491,0.705291152000427,0.257969290018082,val,83,4
17,0.033298585563898,0.38721165060997,0.167859196662903,val,90,4
18,0.158717781305313,15.7706680297852,4.17565298080444,val,91,4
19,0.860336780548096,27.7330665588379,5.77944326400757,val,92,4
20,0.021161394193769,0.296550273895264,0.131551280617714,val,94,4
21,0.050546675920487,0.440699219703674,0.207690194249153,val,97,4
22,0.227970004081726,14.8829069137573,2.31644296646118,val,98,4
23,0.039225582033396,0.571555614471435,0.173212885856628,val,108,4
24,0.041295111179352,0.330499619245529,0.150513634085655,val,125,4
25,0.084996126592159,16.0582408905029,2.79821681976318,val,130,4
26,0.004066724795848,0.807222902774811,0.235942497849464,val,134,4
27,0.046063553541899,0.907633781433106,0.360508948564529,val,140,4
28,0.068875893950462,16.3412036895752,4.07223463058472,val,142,4
29,0.045568395406008,0.487928301095962,0.20014625787735,val,146,4
30,1.08053231239319,14.3294048309326,4.25330018997192,val,149,4
31,0.050528109073639,0.620386183261871,0.260139167308807,val,153,4
32,0.476358592510223,11.2812213897705,4.55530452728272,val,160,4
33,0.510225653648376,19.4717254638672,4.30342626571655,val,165,4
34,0.044214770197868,0.506430327892303,0.176770433783531,val,166,4
35,0.244226828217506,16.9245948791504,3.93872499465942,val,170,4
36,0.383087873458862,17.9004039764404,5.13694572448731,val,180,4
37,0.127640515565872,16.6113681793213,2.59253573417664,val,188,4
38,0.028358716517687,0.347075283527374,0.144550710916519,val,189,4
39,0.025179890915752,0.145668625831604,0.079942509531975,val,197,4
40,0.142029866576195,16.6009883880615,4.00962972640991,val,206,4
41,0.003018503310159,0.644758343696594,0.261461824178696,val,215,4
42,0.300984531641007,6.27427005767822,2.11515235900879,val,216,4
43,0.180958107113838,11.4322910308838,2.80830526351929,val,225,4
44,0.065635912120342,0.263683915138245,0.147393763065338,val,232,4
45,0.037155672907829,0.247005209326744,0.10109344124794,val,235,4
46,0.206888779997826,15.0651540756226,3.81034827232361,val,238,4
47,0.189424231648445,10.5036897659302,1.57317340373993,val,243,4
48,0.160848408937454,7.64156436920166,1.03962337970734,val,251,4
49,1.2104424238205,9.39833927154541,2.79111814498901,val,260,4
50,0.153097122907639,23.3599948883057,2.59710025787354,val,264,4
51,0.045857049524784,0.31670418381691,0.154594510793686,val,272,4
52,0.030216177925468,14.5907411575317,1.34472393989563,val,276,4
53,0.001990204676986,0.200949311256409,0.094403602182865,val,277,4
54,0.436321377754211,15.1552171707153,4.04895496368408,val,280,4
55,0.961417257785797,16.1244258880615,3.27687215805054,val,288,4
56,0.020795699208975,0.203713521361351,0.105553492903709,val,291,4
57,0.075561530888081,0.908520519733429,0.321690112352371,val,294,4
58,0.02619756385684,0.21601440012455,0.122112944722176,val,296,4
59,0.163664609193802,15.9396991729736,1.93689560890198,val,306,4
60,0.393968462944031,3.25805497169495,1.34522366523743,val,313,4
61,0.116093091666698,16.0377368927002,4.76222515106201,val,317,4
