,MAX,Set,Image
0,49.78784942626953,val,1
1,43.86347961425781,val,2
2,40.355648040771484,val,21
3,49.51368713378906,val,25
4,40.845794677734375,val,37
5,53.2498779296875,val,38
6,55.64918518066406,val,45
7,54.586585998535156,val,50
8,52.84483337402344,val,59
9,55.24253845214844,val,67
10,49.344940185546875,val,72
11,41.25678253173828,val,77
12,47.738067626953125,val,93
13,39.81374740600586,val,105
14,43.31056213378906,val,108
15,47.23916244506836,val,114
16,58.116294860839844,val,116
17,51.66151428222656,val,124
18,37.54765319824219,val,133
19,45.01972198486328,val,152
20,39.513851165771484,val,161
21,54.765357971191406,val,176
22,49.39569091796875,val,197
23,42.60569381713867,val,200
24,41.10245895385742,val,204
25,43.53533935546875,val,211
26,44.37345886230469,val,217
27,40.28092956542969,val,225
28,39.83945846557617,val,227
29,42.060508728027344,val,229
30,47.20099639892578,val,231
31,47.95458984375,val,244
32,46.71510314941406,val,264
33,47.97672653198242,val,270
34,45.935813903808594,val,300
35,47.92436599731445,val,307
36,46.224796295166016,val,316
37,46.40322494506836,val,338
38,51.21372985839844,val,352
39,35.99372863769531,val,362
40,42.12348556518555,val,369
41,39.56780242919922,val,370
42,48.06861114501953,val,372
43,37.456695556640625,val,385
44,38.60551452636719,val,388
45,45.0355224609375,val,405
46,54.605621337890625,val,416
47,46.95539093017578,val,434
48,37.13957977294922,val,435
49,49.91341781616211,val,437
50,52.760337829589844,val,441
51,45.867103576660156,val,442
52,39.61137008666992,val,443
53,50.79347229003906,val,450
54,50.07749938964844,val,452
55,43.02732849121094,val,457
56,42.57746124267578,val,480
57,55.060630798339844,val,482
58,45.40747833251953,val,490
59,44.36408996582031,val,491
60,42.074214935302734,val,496
61,44.49973678588867,val,507
62,42.83055114746094,val,508
63,43.843021392822266,val,511
64,55.33360290527344,val,521
65,59.91291046142578,val,533
66,53.32634735107422,val,539
67,60.10558319091797,val,545
68,57.87413024902344,val,548
69,58.397918701171875,val,563
70,42.6362419128418,val,570
71,44.57234573364258,val,571
72,49.86077880859375,val,572
73,44.97307586669922,val,573
74,52.66600799560547,val,586
75,48.258445739746094,val,591
76,57.50215148925781,val,599
77,46.22467041015625,val,604
78,39.07797622680664,val,606
79,50.72631072998047,val,608
80,46.59233093261719,val,612
81,51.347747802734375,val,615
82,46.377532958984375,val,619
83,39.8560676574707,val,628
84,42.36942672729492,val,635
85,48.86311340332031,val,639
86,51.28861999511719,val,645
87,44.64231491088867,val,652
88,55.98640441894531,val,660
89,43.02907943725586,val,665
90,37.101924896240234,val,667
