epoch,accuracy,iou_score,loss,val_accuracy,val_iou_score,val_loss
0,0.7913211,0.05722938,0.8922502199808756,0.21734054,0.0047043683,0.9906478524208069
1,0.95023537,0.10424707,0.8114670855658395,0.57760566,0.0023803716,0.9952521562576294
2,0.9659847,0.1391423,0.7558150518508184,0.03835193,0.017714534,0.9651886463165283
3,0.9756539,0.17925085,0.6962474754878453,0.095520206,0.016444234,0.9676448822021484
4,0.9796616,0.22548836,0.6323087896619525,0.6012104,0.00801696,0.984094786643982
5,0.98069966,0.26944512,0.5757170433089847,0.19828834,0.023275336,0.954508364200592
6,0.9848394,0.33376408,0.4998682283219837,0.59403974,0.0066213086,0.9868460178375245
7,0.9866344,0.38875127,0.4404587774049668,0.9860772,0.23623934,0.6178669571876526
8,0.9876971,0.4377588,0.39121612196876887,0.98907113,0.3125809,0.5239752888679504
9,0.98842275,0.47413972,0.3568530423300607,0.9907304,0.48713866,0.3449168562889099
10,0.9885577,0.49710745,0.33603717599596294,0.9906494,0.5161302,0.31929099559783936
11,0.9886124,0.5109519,0.32386891614823116,0.99073,0.54923093,0.29110307693481446
12,0.9887138,0.52005565,0.3159181475639343,0.9896954,0.54950774,0.29083014726638795
13,0.98869604,0.52767766,0.30925977797735305,0.99085206,0.5505963,0.2899549245834351
14,0.98843336,0.52462244,0.311939815680186,0.9905473,0.5318472,0.30607783794403076
15,0.98886544,0.5401619,0.29870217470895677,0.9891331,0.45272192,0.37723480463027953
16,0.9890437,0.5488454,0.2914035887945266,0.9909566,0.5936024,0.25522546768188475
17,0.989077,0.5505536,0.29001265196573167,0.9905356,0.61068285,0.2418670654296875
18,0.9890975,0.5554387,0.285899247441973,0.9906275,0.55218077,0.2886030554771423
19,0.98919845,0.5583786,0.2835481251989092,0.9914724,0.6212796,0.23376160860061646
20,0.9892065,0.5601713,0.2819942973908924,0.9915387,0.62577456,0.2303435206413269
21,0.9893019,0.5646545,0.27839070558547974,0.9913874,0.6328442,0.2250417947769165
22,0.98935795,0.56836855,0.27544498727435157,0.9915078,0.63307464,0.2248396396636963
23,0.9892839,0.56585205,0.27741521029245286,0.99111336,0.63202685,0.22565009593963622
24,0.9892901,0.5664897,0.2768481004805792,0.99093574,0.6240819,0.2316146731376648
25,0.9891246,0.56512976,0.27804198435374666,0.9912895,0.63736403,0.22167097330093383
26,0.9891947,0.5651549,0.27807924293336417,0.99140877,0.6419642,0.21823133230209352
27,0.9893572,0.5702677,0.2737925336474464,0.9913622,0.63040435,0.2268219470977783
28,0.9891598,0.56771016,0.2758558051926749,0.9913217,0.64182484,0.2183165192604065
29,0.9893396,0.57315797,0.27149713607061476,0.99154776,0.64287436,0.21755590438842773
30,0.9893587,0.57210743,0.2723195865040734,0.9915129,0.6406436,0.21918283700942992
31,0.98930794,0.5716007,0.27271998212451026,0.9917614,0.6485485,0.21337482929229737
32,0.9894875,0.5768809,0.2683932837985811,0.9912682,0.6453672,0.21573002338409425
33,0.9892548,0.5713115,0.2729144578888303,0.9915937,0.6411854,0.21876602172851561
34,0.98929626,0.57250375,0.2719832573618208,0.9916333,0.651662,0.2110919952392578
35,0.98955864,0.5806505,0.26551512877146405,0.991694,0.65266746,0.21034364700317382
36,0.98951715,0.57883656,0.26682500044504803,0.9914922,0.64999825,0.21230994462966918
37,0.9892877,0.57359433,0.2711007140931629,0.9916199,0.65347564,0.20972980260849
38,0.9893904,0.5752414,0.2697437036605108,0.9914321,0.6488656,0.21311346292495728
39,0.98935753,0.57671046,0.26862711282003493,0.991612,0.65410155,0.2092987298965454
40,0.9895423,0.58059484,0.265454337710426,0.9916621,0.64629656,0.21502577066421508
41,0.9894889,0.580699,0.2654033218111311,0.99158037,0.6536218,0.2096485376358032
42,0.98953426,0.58166534,0.2646334000996181,0.991466,0.6531632,0.2099819779396057
43,0.9894545,0.57873005,0.2669681991849627,0.9918445,0.6545712,0.20898013114929198
44,0.9893983,0.57782686,0.2677097377322969,0.9914963,0.6547388,0.20882890224456788
45,0.9896082,0.58466464,0.26218676283245995,0.9918268,0.651755,0.2110390067100525
46,0.9894262,0.5789955,0.2667053398631868,0.99183464,0.6538465,0.20947307348251343
47,0.9895696,0.5831433,0.2635057142802647,0.99158186,0.6520742,0.21080232858657838
