,MIN,Set,Image
0,0.0026704128831624985,val,1
1,0.002967052161693573,val,2
2,0.0011788542615249753,val,21
3,0.004118890967220068,val,25
4,0.0036261279601603746,val,37
5,0.003072485327720642,val,38
6,0.0033146122004836798,val,45
7,0.0019305979367345572,val,50
8,0.10363196581602097,val,59
9,0.00316113093867898,val,67
10,0.040240269154310226,val,72
11,0.004484363365918398,val,77
12,0.003171845106408,val,93
13,0.13662344217300415,val,105
14,0.0783327966928482,val,108
15,0.3143758475780487,val,114
16,0.10044313967227936,val,116
17,0.002956046024337411,val,124
18,0.0030530544463545084,val,133
19,0.004460591822862625,val,152
20,0.003040177980437875,val,161
21,0.0017802775837481022,val,176
22,0.20423871278762817,val,197
23,0.0023975803051143885,val,200
24,0.0027690615970641375,val,204
25,0.016477614641189575,val,211
26,0.013645404018461704,val,217
27,0.026008006185293198,val,225
28,0.0033437679521739483,val,227
29,0.046462755650281906,val,229
30,0.0031902079936116934,val,231
31,0.0023739009629935026,val,244
32,0.009768307209014893,val,264
33,0.08660668134689331,val,270
34,0.002647711895406246,val,300
35,0.0016838283045217395,val,307
36,0.0033824711572378874,val,316
37,0.0035821329802274704,val,338
38,0.0035954350605607033,val,352
39,0.0032243216410279274,val,362
40,0.0017379955388605595,val,369
41,0.011925511993467808,val,370
42,0.0031825590413063765,val,372
43,0.005766757298260927,val,385
44,0.004334178287535906,val,388
45,0.13297897577285767,val,405
46,0.06205550581216812,val,416
47,0.003889072686433792,val,434
48,0.007484743371605873,val,435
49,0.061789620667696,val,437
50,0.0033177656587213278,val,441
51,0.053599849343299866,val,442
52,0.004196944646537304,val,443
53,0.0017388035776093602,val,450
54,0.03187403455376625,val,452
55,0.04742586240172386,val,457
56,0.058253832161426544,val,480
57,0.040646232664585114,val,482
58,0.0022501421626657248,val,490
59,0.18944482505321503,val,491
60,0.0016357994172722101,val,496
61,0.002951292088255286,val,507
62,0.031988874077796936,val,508
63,0.11109885573387146,val,511
64,0.014851907268166542,val,521
65,0.004277900326997042,val,533
66,0.0029595340602099895,val,539
67,0.025114260613918304,val,545
68,0.31558549404144287,val,548
69,0.003272104077041149,val,563
70,0.04456228017807007,val,570
71,0.004028778988867998,val,571
72,0.10032085329294205,val,572
73,0.14516469836235046,val,573
74,0.0036648637615144253,val,586
75,0.16230669617652893,val,591
76,0.007455526851117611,val,599
77,0.003158255247399211,val,604
78,0.05742421746253967,val,606
79,0.49134156107902527,val,608
80,0.0024165066424757242,val,612
81,0.024100517854094505,val,615
82,0.002371815498918295,val,619
83,0.0037396522238850594,val,628
84,0.02661672607064247,val,635
85,0.0027802896220237017,val,639
86,0.002506669843569398,val,645
87,0.033716846257448196,val,652
88,0.004542412236332893,val,660
89,0.0030023837462067604,val,665
90,0.018270958214998245,val,667
91,0.0015388746978715062,val,680
92,0.0035121128894388676,val,682
93,0.0030161812901496887,val,691
94,0.009479294531047344,val,692
95,0.0032149956095963717,val,703
96,0.09698403626680374,val,708
97,0.022150292992591858,val,735
98,0.0037351089995354414,val,742
99,0.06069524958729744,val,747
100,0.0014990633353590965,val,749
101,0.0028163138777017593,val,752
102,0.0030215659644454718,val,753
103,0.0031611162703484297,val,754
104,0.045922018587589264,val,764
105,0.005352725740522146,val,769
106,0.0032886257395148277,val,773
107,0.008132451213896275,val,799
108,0.0014477011281996965,val,800
109,0.029813507571816444,val,808
110,0.0028114565648138523,val,815
111,0.0015419120900332928,val,843
112,0.0020014347974210978,val,848
113,0.0575752779841423,val,850
114,0.15928973257541656,val,857
115,0.004170767497271299,val,859
116,0.0031096646562218666,val,866
117,0.003039310919120908,val,870
118,0.002884011948481202,val,882
119,0.002837056526914239,val,889
120,0.0027789082378149033,val,892
121,0.003096256172284484,val,894
122,0.03666587546467781,val,895
123,0.05211027339100838,val,901
124,0.010666864924132824,val,911
125,0.004543174523860216,val,925
126,0.0031748213805258274,val,926
127,0.029693497344851494,val,930
128,0.0017482424154877663,val,933
129,0.005370335187762976,val,957
130,0.07156923413276672,val,972
131,0.029863325878977776,val,975
132,0.001387164811603725,val,977
133,0.0030410136096179485,val,982
134,0.014155691489577293,val,984
135,0.02465609647333622,val,987
136,0.056953977793455124,val,994
137,0.01571863517165184,val,999
138,0.003543552476912737,val,1008
139,0.002562935696914792,val,1009
140,0.08386977016925812,val,1024
141,0.0367170125246048,val,1027
142,0.06458884477615356,val,1028
143,0.013481821864843369,val,1034
144,0.003025102661922574,val,1036
145,0.001977240899577737,val,1043
146,0.07942336052656174,val,1045
147,0.0031685822177678347,val,1048
148,0.002924836939200759,val,1061
149,0.09483116120100021,val,1062
150,0.002732807071879506,val,1070
151,0.04049218073487282,val,1080
152,0.0033408140297979116,val,1084
