,Accuracy,Image,Set,Experiment
226,1.0,1479,val,4
227,1.0,1483,val,4
228,1.0,1484,val,4
229,0.92,1486,val,4
230,1.0,1497,val,4
231,1.0,1510,val,4
232,1.0,1511,val,4
233,1.0,1520,val,4
234,1.0,1526,val,4
235,0.92,1537,val,4
236,1.0,1541,val,4
237,1.0,1550,val,4
238,1.0,1555,val,4
239,1.0,1557,val,4
240,1.0,1558,val,4
241,1.0,1572,val,4
242,1.0,1584,val,4
243,1.0,1586,val,4
244,1.0,1593,val,4
245,1.0,1605,val,4
246,1.0,1606,val,4
247,1.0,1607,val,4
248,1.0,1612,val,4
249,1.0,1613,val,4
250,0.84,1614,val,4
251,1.0,1619,val,4
252,1.0,1625,val,4
253,1.0,1660,val,4
254,1.0,1661,val,4
255,1.0,1665,val,4
256,1.0,1677,val,4
257,0.92,1681,val,4
258,1.0,1687,val,4
259,1.0,1694,val,4
260,1.0,1704,val,4
261,1.0,1713,val,4
262,1.0,1717,val,4
263,1.0,1720,val,4
264,1.0,1728,val,4
265,1.0,1733,val,4
266,1.0,1745,val,4
267,1.0,1747,val,4
268,1.0,1753,val,4
269,1.0,1761,val,4
270,1.0,1765,val,4
271,1.0,1774,val,4
272,1.0,1789,val,4
273,1.0,1799,val,4
274,0.92,1801,val,4
275,1.0,1809,val,4
276,1.0,1810,val,4
277,1.0,1816,val,4
278,1.0,1821,val,4
279,1.0,1822,val,4
280,1.0,1825,val,4
281,1.0,1837,val,4
282,1.0,1846,val,4
283,1.0,1853,val,4
284,1.0,1863,val,4
285,1.0,1864,val,4
286,1.0,1870,val,4
287,1.0,1877,val,4
288,1.0,1882,val,4
289,0.92,1899,val,4
290,1.0,1917,val,4
291,1.0,1925,val,4
292,1.0,1933,val,4
293,1.0,1935,val,4
294,1.0,1936,val,4
295,1.0,1956,val,4
296,1.0,1971,val,4
297,1.0,1978,val,4
298,1.0,1996,val,4
299,1.0,2006,val,4
300,1.0,2010,val,4
301,1.0,2018,val,4
302,1.0,2022,val,4
303,1.0,2023,val,4
304,1.0,2028,val,4
305,1.0,2032,val,4
306,1.0,2037,val,4
307,1.0,2041,val,4
308,1.0,2048,val,4
309,1.0,2057,val,4
310,1.0,2066,val,4
311,1.0,2085,val,4
312,1.0,2087,val,4
313,1.0,2091,val,4
314,1.0,2096,val,4
315,1.0,2097,val,4
316,1.0,2102,val,4
317,1.0,2113,val,4
318,1.0,2115,val,4
319,1.0,2120,val,4
320,1.0,2147,val,4
321,1.0,2148,val,4
322,1.0,2150,val,4
323,1.0,2155,val,4
324,1.0,2165,val,4
325,1.0,2168,val,4
326,1.0,2170,val,4
327,1.0,2176,val,4
328,1.0,2179,val,4
329,1.0,2180,val,4
330,1.0,2186,val,4
331,1.0,2195,val,4
332,1.0,2199,val,4
333,1.0,2214,val,4
334,0.92,2221,val,4
335,1.0,2236,val,4
336,1.0,2238,val,4
337,1.0,2241,val,4
338,1.0,2244,val,4
339,1.0,2251,val,4
340,1.0,2267,val,4
341,1.0,2278,val,4
342,0.92,2283,val,4
343,1.0,2296,val,4
344,1.0,2297,val,4
345,1.0,2299,val,4
346,1.0,2305,val,4
347,1.0,2308,val,4
348,1.0,2309,val,4
349,1.0,2316,val,4
350,1.0,2320,val,4
351,1.0,2324,val,4
352,1.0,2340,val,4
353,1.0,2341,val,4
354,1.0,2347,val,4
355,1.0,2360,val,4
356,1.0,2366,val,4
357,1.0,2368,val,4
358,1.0,2371,val,4
359,0.92,2399,val,4
360,1.0,2413,val,4
361,1.0,2425,val,4
362,1.0,2433,val,4
363,1.0,2435,val,4
364,1.0,2438,val,4
365,1.0,2444,val,4
366,0.92,2447,val,4
367,0.84,2460,val,4
368,1.0,2462,val,4
369,1.0,2469,val,4
370,1.0,2470,val,4
371,1.0,2476,val,4
372,1.0,2478,val,4
373,1.0,2483,val,4
374,1.0,2484,val,4
375,1.0,2499,val,4
376,1.0,2505,val,4
377,1.0,2509,val,4
378,1.0,2513,val,4
379,1.0,2527,val,4
380,1.0,2530,val,4
381,1.0,2533,val,4
382,1.0,2538,val,4
383,1.0,2546,val,4
384,1.0,2548,val,4
385,1.0,2553,val,4
386,1.0,2554,val,4
387,1.0,2557,val,4
388,1.0,2558,val,4
389,1.0,2560,val,4
390,1.0,2571,val,4
391,1.0,2579,val,4
392,0.92,2589,val,4
393,1.0,2590,val,4
394,1.0,2612,val,4
395,1.0,2620,val,4
396,1.0,2628,val,4
397,1.0,2640,val,4
398,1.0,2641,val,4
399,1.0,2651,val,4
400,1.0,2658,val,4
401,1.0,2669,val,4
