,MAED,Set,Image
0,0.4815503656864166,val,1
1,1.1741129159927368,val,2
2,0.5512176752090454,val,21
3,0.8468272686004639,val,25
4,0.5621940493583679,val,37
5,0.4100435674190521,val,38
6,0.3834895193576813,val,45
7,2.5738701820373535,val,50
8,0.3970043659210205,val,59
9,1.6577203273773193,val,67
10,0.29422011971473694,val,72
11,0.37388816475868225,val,77
12,0.8754251599311829,val,93
13,1.087020754814148,val,105
14,0.8935196399688721,val,108
15,0.6545573472976685,val,114
16,1.37583327293396,val,116
17,1.8757380247116089,val,124
18,0.14649298787117004,val,133
19,1.0438275337219238,val,152
20,0.08489268273115158,val,161
21,0.36603835225105286,val,176
22,0.4633066654205322,val,197
23,0.8661702871322632,val,200
24,0.25486642122268677,val,204
25,0.1658497303724289,val,211
26,0.23795005679130554,val,217
27,0.2075393795967102,val,225
28,0.3462168872356415,val,227
29,0.6720837950706482,val,229
30,2.003746271133423,val,231
31,0.4455948770046234,val,244
32,0.28433001041412354,val,264
33,0.36778104305267334,val,270
34,0.6897321939468384,val,300
35,0.471246600151062,val,307
36,0.2969299256801605,val,316
37,0.3909549415111542,val,338
38,0.1515480875968933,val,352
39,0.3011394441127777,val,362
40,0.5135001540184021,val,369
41,0.15230272710323334,val,370
42,2.1028294563293457,val,372
43,0.1397731900215149,val,385
44,0.5055224895477295,val,388
45,0.7620829939842224,val,405
46,0.5188630223274231,val,416
47,0.2902193069458008,val,434
48,0.2081463634967804,val,435
49,0.5837334990501404,val,437
50,0.5215153694152832,val,441
51,0.5243668556213379,val,442
52,0.2507873475551605,val,443
53,0.27625054121017456,val,450
54,0.5843346118927002,val,452
55,1.2832719087600708,val,457
56,0.8431186676025391,val,480
57,0.5160247683525085,val,482
58,0.769206166267395,val,490
59,0.5997216105461121,val,491
60,0.20751985907554626,val,496
61,0.7239060401916504,val,507
62,0.284974068403244,val,508
63,0.3557805120944977,val,511
64,0.3474728763103485,val,521
65,0.2955884635448456,val,533
66,1.5262244939804077,val,539
67,0.3451208770275116,val,545
68,2.1958606243133545,val,548
69,3.323887348175049,val,563
70,0.6604602932929993,val,570
71,0.24626213312149048,val,571
72,0.5556740760803223,val,572
73,0.9468298554420471,val,573
74,0.3980247378349304,val,586
75,0.49791592359542847,val,591
76,0.231883704662323,val,599
77,1.0568263530731201,val,604
78,0.43451645970344543,val,606
79,2.240034341812134,val,608
80,0.2551446259021759,val,612
81,0.34373024106025696,val,615
82,0.7518697381019592,val,619
83,0.3657297194004059,val,628
84,0.20169317722320557,val,635
85,0.5132015943527222,val,639
86,1.1575664281845093,val,645
87,0.33138054609298706,val,652
88,0.19256864488124847,val,660
89,0.4664608836174011,val,665
90,0.11596092581748962,val,667
91,0.6546063423156738,val,680
92,1.5490776300430298,val,682
93,0.1843494027853012,val,691
94,0.262154757976532,val,692
95,0.9843953847885132,val,703
96,0.6987647414207458,val,708
97,0.14363323152065277,val,735
98,0.29975199699401855,val,742
