epoch,loss,mae,val_loss,val_mae
0,36706.44903273809,177.4322,38321.666666666664,182.6386
1,35300.005952380954,173.83478,26667.026692708332,150.86053
2,33932.00334821428,170.28178,23004.789713541668,139.27557
3,32654.76246279762,166.92104,30704.75390625,162.62201
4,30887.83240327381,162.07356,19945.635416666668,128.74352
5,29186.55543154762,157.21391,19636.677083333332,127.54796
6,27649.063430059523,152.88332,16596.340169270832,115.92033
7,25605.529389880954,146.64087,17743.4345703125,120.72588
8,23586.085007440477,140.30516,24122.03515625,143.64394
9,21793.025390625,134.23424,22342.0390625,137.15927
10,19786.173363095237,127.10675,17036.804036458332,118.07072
11,18068.694847470237,120.499954,11539.267578125,93.665436
12,16123.684616815477,113.355865,5565.212727864583,61.31191
13,14418.129836309523,105.90328,16439.223958333332,114.60738
14,12652.856119791666,98.38871,18753.796223958332,125.14552
15,11211.767066592261,91.830605,18870.305338541668,124.6703
16,9827.941871279761,84.61455,21510.026692708332,135.06769
17,8424.477120535714,77.52704,5416.781901041667,61.619873
18,7623.9829334077385,73.09722,12644.440755208334,101.214386
19,6444.951869419643,66.460075,3546.1650390625,47.3976
20,5876.397856212798,63.036186,4687.558430989583,55.314575
21,5247.592633928572,59.136463,2995.2799479166665,44.015144
22,4847.585542224702,56.481003,3460.4039713541665,49.00759
23,4440.294573102678,53.89188,2857.4496256510415,42.74199
24,3815.319870721726,49.759556,2686.4002278645835,42.957676
25,3668.786551339286,48.532066,3762.9091796875,51.945972
26,3443.1711309523807,46.825737,2371.6944986979165,39.743843
27,3321.861130487351,45.585236,2379.592041015625,39.704655
28,3151.5525716145835,44.36336,2351.189982096354,38.945816
29,2999.3546549479165,42.976555,2641.8573404947915,43.221874
30,2996.1146879650296,42.55095,2475.265869140625,41.17281
31,2896.5618722098216,41.6508,2309.9769287109375,38.978664
32,2817.797188895089,40.705788,2231.9083658854165,37.590553
33,2790.955252511161,40.501682,2189.7486572265625,37.591843
34,2788.803908575149,40.032963,2245.6448567708335,38.012005
35,2763.2765764508927,39.755146,2208.69482421875,38.618214
36,2764.08837890625,39.9072,2203.1273600260415,37.327194
37,2779.990257626488,39.87364,2185.1498209635415,37.39116
38,2717.908203125,39.26444,2284.6912841796875,38.405025
39,2713.1146530877977,39.34544,2248.6873372395835,38.083885
40,2658.4637683686756,38.65001,2258.4295247395835,37.642754
41,2643.099807012649,38.270927,2196.585489908854,37.34484
42,2706.746361142113,38.803032,2142.4838053385415,35.34468
43,2680.142043340774,38.819157,2155.4192708333335,36.329296
44,2643.533272879464,38.32812,2085.0814615885415,35.382065
45,2677.9453473772323,38.49535,2031.2884521484375,34.13882
46,2656.6628999255954,38.393486,1984.6141357421875,33.544647
47,2683.7436407180057,38.47249,2011.7696126302083,33.027847
48,2639.7038225446427,38.466568,2082.6080729166665,35.12057
49,2697.4620186941966,38.82204,2242.8775227864585,35.73642
50,2643.3055710565477,38.090584,2209.855428059896,36.0168
51,2639.8463309151784,37.99624,2058.8800048828125,33.68706
52,2622.2106119791665,37.93139,2135.2118326822915,34.058117
53,2587.6825358072915,37.82189,2032.0951334635417,34.797256
54,2592.024948846726,37.714375,2022.0079345703125,33.832363
55,2585.7519647507443,37.458405,2097.1883951822915,33.72891
56,2612.4768880208335,37.88109,2024.2811279296875,34.1436
57,2560.765380859375,37.373615,2019.57080078125,33.007496
58,2654.0954473586307,38.189373,2180.4239501953125,34.448994
59,2614.2074614025296,37.751297,2118.928426106771,33.708084
60,2603.5289015997023,37.43511,2114.82275390625,33.54515
61,2630.0901692708335,38.01855,2237.109619140625,34.38856
62,2556.1726190476193,37.36037,2156.77197265625,33.85795
63,2588.253173828125,37.48749,2132.0392252604165,33.73085
64,2582.7079148065477,37.521038,2197.9649251302085,33.83386
65,2558.9810965401784,37.359394,2154.2769368489585,33.47087
66,2514.527297247024,36.82394,2238.6209309895835,34.771076
67,2492.9754696800596,36.44338,2032.03173828125,33.406593
68,2470.090576171875,36.529133,2012.3662923177083,32.973778
69,2455.2137741815477,36.27813,2013.6025390625,33.11107
70,2443.4411737351193,36.051636,2207.9010009765625,34.6464
71,2406.0690801711307,35.74127,2020.3936767578125,33.036545
72,2415.6743047805057,36.179333,1829.8363444010417,31.54498
73,2356.459007626488,35.314617,1812.1794026692708,30.933342
74,2268.936767578125,34.669933,2042.1942952473958,33.96928
75,2259.680710565476,33.98603,1618.4265950520833,30.159218
76,2265.728492373512,34.20411,2072.850830078125,34.000797
77,2256.364211309524,34.11398,2094.4251302083335,35.10551
78,2109.426292782738,32.743298,1300.4040934244792,26.96878
79,2149.437430245536,32.5386,2319.993896484375,35.057613
80,2028.0585007440477,30.82017,1460.1066080729167,27.440908
81,2078.4152483258927,31.567911,1294.0440877278645,25.713264
82,2003.8446103050596,31.004255,1522.3814086914062,27.495451
83,1958.5172642299108,30.155489,1564.5733846028645,27.348549
84,1938.5269717261904,29.681818,1689.4664713541667,29.183065
85,2013.647670200893,30.688988,2340.49658203125,35.98976
86,2050.7002883184523,31.189713,1135.2831420898438,23.227203
87,2022.778308686756,30.661959,1344.7491048177083,25.719505
88,1909.6121651785713,29.445978,1272.092020670573,24.2372
89,1848.8589564732142,28.44691,908.1552022298177,18.518862
90,1877.1858607700892,28.365639,1158.642313639323,22.478941
91,1937.2251441592261,29.395819,930.1492513020834,19.374044
92,1843.9460507347471,28.547201,1068.9611409505208,22.49768
93,1850.5572102864583,28.5398,964.0025126139323,20.730389
94,1834.6965041387648,28.375578,844.6967976888021,17.714201
95,1835.9861886160713,28.203047,935.891357421875,20.015278
96,1887.4609840029761,28.690863,1038.1781616210938,22.443615
97,1795.22314453125,27.79338,1080.3228352864583,22.594984
98,1722.2086879185267,26.936453,916.8482055664062,19.613491
99,1765.3133196149554,27.195877,888.7561950683594,18.76633
100,1924.4803757440477,28.96298,978.9746704101562,20.931313
101,1913.7501395089287,28.953497,974.7677408854166,21.713911
102,1811.4483119419642,27.896725,958.8451843261719,20.214363
103,1742.9961867559523,26.877878,905.3056233723959,19.35095
104,1751.7291666666667,26.794888,887.2041829427084,18.370928
105,1774.6662190755208,27.680563,854.5768432617188,17.716768
106,1732.8983677455358,27.009647,890.0362141927084,19.057299
107,1820.9049304780506,28.019802,1120.215352376302,24.051249
108,1760.4760044642858,27.664946,982.0312093098959,21.308105
109,1770.4834856305804,27.734629,900.8031717936198,18.726345
110,1764.5135788690477,27.065823,902.6053059895834,19.362833
111,1723.3780285063244,27.113144,882.2196248372396,18.617496
112,1637.2999325706846,26.145674,861.26318359375,17.89043
113,1660.191906156994,26.241861,1010.7150268554688,22.613653
114,1640.4143763950892,26.068918,895.3638305664062,18.874123
115,1603.4534156436011,25.480196,836.5662333170573,16.948997
116,1641.3946823846727,26.020353,862.07568359375,17.752695
117,1748.8436221168154,27.444685,1010.701416015625,22.55298
118,1739.220691499256,27.494923,948.6006673177084,20.527748
119,1579.4725341796875,24.835836,883.5151774088541,18.465187
120,1657.5447939918154,26.11459,884.7176310221354,18.44645
121,1556.8199230375744,25.377962,863.5392049153646,18.299694
