,MAED,Set,Image
0,0.19759199023246765,val,1
1,4.8069963455200195,val,6
2,0.3589571714401245,val,9
3,1.9403835535049438,val,13
4,2.989661931991577,val,15
5,4.339959144592285,val,22
6,0.1206115186214447,val,24
7,0.20622342824935913,val,26
8,4.308826446533203,val,28
9,0.1807142049074173,val,31
10,0.2135956883430481,val,33
11,3.680814504623413,val,39
12,3.1394412517547607,val,44
13,2.1709275245666504,val,64
14,2.825458288192749,val,66
15,1.6977862119674683,val,77
16,0.25796929001808167,val,83
17,0.16785919666290283,val,90
18,4.175652980804443,val,91
19,5.779443264007568,val,92
20,0.13155128061771393,val,94
21,0.20769019424915314,val,97
22,2.3164429664611816,val,98
23,0.17321288585662842,val,108
24,0.1505136340856552,val,125
25,2.7982168197631836,val,130
26,0.23594249784946442,val,134
27,0.3605089485645294,val,140
28,4.072234630584717,val,142
29,0.20014625787734985,val,146
30,4.253300189971924,val,149
31,0.2601391673088074,val,153
32,4.555304527282715,val,160
33,4.303426265716553,val,165
34,0.1767704337835312,val,166
35,3.938724994659424,val,170
36,5.136945724487305,val,180
37,2.5925357341766357,val,188
38,0.14455071091651917,val,189
39,0.07994250953197479,val,197
40,4.009629726409912,val,206
41,0.2614618241786957,val,215
42,2.115152359008789,val,216
43,2.808305263519287,val,225
44,0.14739376306533813,val,232
45,0.10109344124794006,val,235
46,3.8103482723236084,val,238
47,1.5731734037399292,val,243
48,1.0396233797073364,val,251
49,2.7911181449890137,val,260
50,2.597100257873535,val,264
51,0.1545945107936859,val,272
52,1.3447239398956299,val,276
53,0.09440360218286514,val,277
54,4.048954963684082,val,280
55,3.276872158050537,val,288
56,0.10555349290370941,val,291
57,0.3216901123523712,val,294
58,0.1221129447221756,val,296
59,1.9368956089019775,val,306
60,1.3452236652374268,val,313
61,4.762225151062012,val,317
62,2.3367044925689697,val,323
63,0.14245031774044037,val,328
64,3.827970027923584,val,336
65,2.1809744834899902,val,337
66,0.14702485501766205,val,339
67,2.4104180335998535,val,341
68,5.536850452423096,val,355
69,0.20901645720005035,val,358
70,0.12407925724983215,val,360
71,0.30635538697242737,val,375
72,3.9441583156585693,val,379
73,0.2831929326057434,val,394
74,2.8831393718719482,val,396
75,0.21458961069583893,val,411
76,4.106116771697998,val,422
77,4.344550609588623,val,430
78,4.39054012298584,val,433
79,0.23687225580215454,val,437
80,2.3538718223571777,val,439
81,1.9480189085006714,val,458
82,9.543010711669922,val,460
83,1.208504319190979,val,461
84,0.2682799994945526,val,466
85,5.350533485412598,val,467
86,7.75152587890625,val,476
87,1.9304357767105103,val,495
88,4.477102279663086,val,505
89,0.16999557614326477,val,519
90,1.7849119901657104,val,539
91,3.516023874282837,val,552
92,1.3821178674697876,val,555
93,4.166176795959473,val,556
94,0.544209897518158,val,562
95,4.243828296661377,val,576
96,0.12303271144628525,val,582
97,10.799427032470703,val,590
98,0.2077600061893463,val,596
99,0.16765251755714417,val,603
100,0.2255343198776245,val,611
101,3.5134103298187256,val,614
102,3.4109158515930176,val,634
103,0.213077113032341,val,635
104,0.15911763906478882,val,645
105,2.8556532859802246,val,664
106,3.3537425994873047,val,669
107,4.81143045425415,val,675
108,0.3199203610420227,val,680
109,0.2211659550666809,val,689
110,0.19608908891677856,val,705
111,4.75015926361084,val,714
112,0.1049281656742096,val,718
113,6.114089488983154,val,722
114,2.994642734527588,val,735
