,MIN,Set,Image
0,0.020365813747048378,val,1
1,0.015364260412752628,val,2
2,0.04803765192627907,val,21
3,0.03524959087371826,val,25
4,0.008391465991735458,val,37
5,0.012912708334624767,val,38
6,0.010421072132885456,val,45
7,0.05780182033777237,val,50
8,0.10417602211236954,val,59
9,0.004085317254066467,val,67
10,0.07888513803482056,val,72
11,0.02737349271774292,val,77
12,0.004123274702578783,val,93
13,0.14834381639957428,val,105
14,0.08149485290050507,val,108
15,0.15851983428001404,val,114
16,0.26628392934799194,val,116
17,0.006705173756927252,val,124
18,0.040827129036188126,val,133
19,0.03487858548760414,val,152
20,0.008621374145150185,val,161
21,0.021328547969460487,val,176
22,0.26342111825942993,val,197
23,0.020515844225883484,val,200
24,0.013620303943753242,val,204
25,0.06426247954368591,val,211
26,0.05755471810698509,val,217
27,0.046392668038606644,val,225
28,0.010425006039440632,val,227
29,0.19058983027935028,val,229
30,0.00410264590755105,val,231
31,0.03090750426054001,val,244
32,0.13199670612812042,val,264
33,0.18391060829162598,val,270
34,0.008367027156054974,val,300
35,0.036101095378398895,val,307
36,0.012233642861247063,val,316
37,0.00860507134348154,val,338
38,0.01276394072920084,val,352
39,0.011111621744930744,val,362
40,0.03412327915430069,val,369
41,0.13631127774715424,val,370
42,0.005679383873939514,val,372
43,0.06472223997116089,val,385
44,0.03009897470474243,val,388
45,0.3477737605571747,val,405
46,0.06710697710514069,val,416
47,0.024308037012815475,val,434
48,0.041650161147117615,val,435
49,0.03505732864141464,val,437
50,0.010906134732067585,val,441
51,0.024226214736700058,val,442
52,0.008555975742638111,val,443
53,0.009718749672174454,val,450
54,0.016061309725046158,val,452
55,0.1534540057182312,val,457
56,0.14692670106887817,val,480
57,0.04548398405313492,val,482
58,0.0015187094686552882,val,490
59,0.059795085340738297,val,491
60,0.01610482856631279,val,496
61,0.006992961745709181,val,507
62,0.045111022889614105,val,508
63,0.15470492839813232,val,511
64,0.027994846925139427,val,521
65,0.02041974477469921,val,533
66,0.006481172516942024,val,539
67,0.026104852557182312,val,545
68,0.3500768542289734,val,548
69,0.06541630625724792,val,563
70,0.016842620447278023,val,570
71,0.00917656160891056,val,571
72,0.1409224420785904,val,572
